"name","name_long","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase"
"Haiti","Haiti","Country",337.5,84.9735,68.0825,116.8915,50,"Country",337.5,78.49407213095535,43.9029128188682,113.02885444869564,56.9881442619107,28.494072130955345,69.947,34.9735
"Guyana","Guyana","Country",1713.5,418.782,375.6385,480.8315,260,"Country",1713.5,396.65828482141825,337.2612632079501,452.499856401445,52.56087877746856,136.65828482141825,61.07000000000002,158.78200000000004
"Guinea-Bissau","Guinea-Bissau","Country",32,20.188,14.9515,50.8395,13,"Country",32,19.08058608058608,3.2538978042072024,37.303255892477125,46.77373908143139,6.08058608058608,55.29230769230771,7.188000000000002
"Guatemala","Guatemala","Country",9996.5,513.903,479.148,562.265,382,"Country",9996.5,490.81376953828,442.25565172801305,539.7464055463226,28.485279983842936,108.81376953827998,34.52958115183247,131.90300000000002
"Grenada","Grenada","Country",24,27.394,18.063,71.554,14,"Country",24,26.913043478260867,0.20424255948656625,55.71821285242464,92.23602484472048,12.913043478260867,95.67142857142856,13.393999999999998
"Greece","Greece","Country",24286,1637.0765,1579.1945,1709.2325,1191,"Country",24286,1555.770886451663,1468.4443394223904,1641.5296038687188,30.62727845941755,364.77088645166305,37.45394626364398,446.0764999999999
"Ghana","Ghana","Country",391.5,151.322,132.642,178.6515,101,"Country",391.5,142.48771879686308,109.82836237758649,174.38409538318467,41.07694930382484,41.48771879686308,49.823762376237624,50.322
"Germany","Germany","Country",248655,735.509,704.528,780.346,639,"Country",248655,717.7653088518449,675.6485678045209,756.4991345261833,12.326339413434262,78.7653088518449,15.103129890453836,96.509
"Georgia","Georgia","Country",2761.5,711.0055,659.5675,775.048,465,"Country",2761.5,666.7721759742527,600.3379047982041,734.7388499241375,43.391865800914566,201.77217597425272,52.90440860215053,246.0055
"Gambia","The Gambia","Country",286,80.967,66.6455,121.4235,53,"Country",286,77.66318189640337,44.75717931015512,111.47768093273618,46.534305464912016,24.663181896403373,52.76792452830187,27.967
"Gabon","Gabon","Country",1014,240.2825,221.2335,269.967,175,"Country",1014,229.21161191313576,194.0822810408,264.73636782449296,30.97806395036329,54.211611913135755,37.304285714285726,65.2825
"France","France","Country",136124.5,1177.171,1135.3305,1233.956,1003,"Country",136124.5,1147.2285848310544,1094.4136839692428,1199.5055723820278,14.379719325130049,144.22858483105438,17.365004985044873,174.17100000000005
"New Caledonia","New Caledonia","Country",960,117.5585,104.361,139.414,88,"Country",960,112.37167666646464,85.4070783609519,140.79732516682702,27.695087120982564,24.37167666646465,33.58920454545456,29.55850000000001
"Finland","Finland","Country",183172.5,278,269.752,300.356,263,"Country",183172.5,275.89278678081155,254.75957734751347,296.96934580936875,4.9022002968865275,12.892786780811548,5.703422053231932,15
"Fiji","Fiji","Country",1282.5,40.77,35.432500000000005,64.8195,33,"Country",1282.5,39.39501226600446,21.54068098586408,59.42383135090527,19.37882504849835,6.395012266004457,23.545454545454557,7.770000000000003
"Ethiopia","Ethiopia","Country",2953,344.26599999999996,305.19,402.5875,220,"Country",2953,324.69772908635,270.8023925147321,378.4216523622262,47.58987685743183,104.69772908635002,56.48454545454544,124.26599999999996
"Estonia","Estonia","Country",56106,310.01,304.733,319.646,299,"Country",56106,307.84238978324294,292.85600365407083,323.1603088881724,2.95732099774011,8.842389783242936,3.682274247491635,11.009999999999993
"El Salvador","El Salvador","Country",1950.5,177.54500000000002,155.15300000000002,221.673,121,"Country",1950.5,170.1944894294395,131.9950686316933,208.02749792898155,40.65660283424752,49.1944894294395,46.73140495867769,56.545000000000016
"Egypt","Egypt","Country",6201,705.739,661.2135000000001,764.8734999999999,490,"Country",6201,666.1614689103806,602.3254033769165,728.9391554139538,35.95132018579194,176.16146891038056,44.02836734693878,215.73900000000003
"Ecuador","Ecuador","Country",16556.5,777.2645,730.629,837.6605,566,"Country",16556.5,744.5680390250378,682.020628781391,808.4263553043037,31.54912350265686,178.56803902503782,37.32588339222615,211.2645
"Dominica","Dominica","Country",251,64.9295,42.7345,137.657,34,"Country",251,62.05694570022102,20.057369995681185,109.6996278240425,82.52042853006184,28.05694570022102,90.96911764705884,30.929500000000004
"Greenland","Greenland","Country",262,96.5885,80.1365,130.49349999999998,61,"Country",262,93.20449651041584,56.88796334618638,128.89037262847108,52.79425657445223,32.20449651041585,58.341803278688545,35.58850000000001
"Denmark","Denmark","Country",19788.5,349.40049999999997,331.9385,376.9525,298,"Country",19788.5,340.2013796205332,311.1164154663166,368.9604229109002,14.16153678541383,42.2013796205332,17.248489932885903,51.400499999999965
"Cyprus","Cyprus","Country",1252,154.59,150.058,161.671,142,"Country",1252,152.07259352777493,134.59761823913678,169.54756881641308,7.093375723785167,10.072593527774927,8.8661971830986,12.590000000000003
"Cuba","Cuba","Country",1597.5,139.5675,127.6975,162.108,111,"Country",1597.5,135.01635724523925,109.114532160977,160.6751195411326,21.636357878593927,24.01635724523925,25.736486486486477,28.567499999999995
"Croatia","Croatia","Country",9988,1077.4515,1016.22,1149.408,733,"Country",9988,1014.987119864639,935.0408254320088,1095.1548522754051,38.47027556134229,281.987119864639,46.99201909959074,344.4515000000001
"Costa Rica","Costa Rica","Country",68325,701.463,669.2850000000001,745.9325,588,"Country",68325,684.0254412387314,637.9647617915246,728.5916961519165,16.33085735352575,96.02544123873145,19.29642857142857,113.46299999999997
"Comoros","Comoros","Country",149,32.216499999999996,23.9505,64.1335,21,"Country",149,31.04268292682927,7.710990946144932,55.41140873368301,47.822299651567945,10.042682926829269,53.41190476190474,11.216499999999996
"Colombia","Colombia","Country",40578,1080.5695,1026.4065,1143.8115,814,"Country",40578,1033.2560487699357,966.9566149491764,1102.30970399717,26.935632527019116,219.2560487699357,32.74809582309584,266.56950000000006
"China","China","Country",32613,2003.6195,1915.4125,2105.6800000000003,1367,"Country",32613,1890.5731373108792,1783.8328470583192,1998.9876836723352,38.30088787936206,523.5731373108792,46.570555961960494,636.6195
"Macao","Macao","Country",130.5,23.528,20.4745,33.2685,19,"Country",130.5,22.981507580610717,8.454385200561926,37.231896971604854,20.95530305584587,3.9815075806107174,23.831578947368403,4.527999999999999
"Hong Kong","Hong Kong","Country",2473,62.964,46.892,131.846,42,"Country",2473,62.24181156490093,24.176712751504233,100.30691037829762,48.194789440240314,20.241811564900928,49.91428571428571,20.964
"Chile","Chile","Country",76239.5,572.262,552.4635000000001,598.842,502,"Country",76239.5,558.5124649533499,524.7364719767194,592.989233070226,11.257463138117508,56.51246495334988,13.996414342629482,70.26199999999994
"Chad","Chad","Country",88472,796.4535000000001,769.5,830.726,679,"Country",88472,773.4632128154315,730.4248451376324,816.0892354968473,13.912107925689464,94.46321281543146,17.298011782032408,117.45350000000008
"Canada","Canada","Country",143501,1170.019,1119.344,1233.0285,920,"Country",143501,1127.3273605178229,1061.3882547150552,1193.3742753747842,22.535582664980748,207.32736051782285,27.17597826086957,250.019
"Cameroon","Cameroon","Country",1962,413.1775,371.8505,471.8835,261,"Country",1962,389.1354782877588,330.81606627647295,447.0823350117957,49.09405298381564,128.1354782877588,58.30555555555557,152.1775
"Cambodia","Cambodia","Country",399.5,99.3985,85.174,125.5865,70,"Country",399.5,94.44248546315076,66.21897672299946,125.77042190803196,34.91783637592967,24.442485463150778,41.99785714285713,29.3985
"Myanmar","Myanmar","Country",1112,347.613,308.64,401.835,215,"Country",1112,326.1877237731698,273.52641901789514,377.8304784074957,51.715220359613866,111.1877237731698,61.68046511627907,132.613
"Burundi","Burundi","Country",111,168.943,129.654,244.422,87,"Country",111,168.94256756756755,113.09311206248,222.23510574237295,94.18685927306616,81.94256756756755,94.1873563218391,81.94300000000001
"Burkina Faso","Burkina Faso","Country",37340,89.0015,76.122,120.5445,69,"Country",37340,86.99951662279909,54.90010200053326,118.57936033686414,26.086255975071147,17.999516622799092,28.987681159420276,20.001499999999993
"Bulgaria","Bulgaria","Country",10831.5,1150.2379999999998,1077.975,1237.48,749,"Country",10831.5,1082.5497764962531,992.3486163079132,1169.2674512798185,44.532680440087226,333.54977649625334,53.569826435246966,401.23799999999983
"Brazil","Brazil","Country",183653,2692.7205,2612.548,2783.9915,2072,"Country",183653,2575.697462076858,2474.036704485785,2676.467562782572,24.309723073207422,503.69746207685785,29.95755308880308,620.7204999999999
"Botswana","Botswana","Country",852,219.616,201.0295,248.7,154,"Country",852,207.95277869162464,172.22039729755693,243.14397412588977,35.034271877678314,53.952778691624616,42.60779220779221,65.61599999999999
"Bolivia","Bolivia","Country",17086.5,1029.7635,961.494,1112.417,696,"Country",17086.5,974.3209172553904,894.3751317723209,1053.5687248664738,39.988637536694014,278.3209172553903,47.95452586206896,333.7635
"Bhutan","Bhutan","Country",440.5,86.069,71.97149999999999,120.2765,60,"Country",440.5,82.34375362860385,53.15281362887093,112.38615027503252,37.239589381006425,22.34375362860385,43.44833333333333,26.069000000000003
"Benin","Benin","Country",188,268.355,116.478,722.1605,47,"Country",188,255.68622329528827,0,583.2287287071858,444.0132410538048,208.68622329528827,470.96808510638306,221.355
"Belize","Belize","Country",2757.5,206.627,190.799,230.431,163,"Country",2757.5,198.73404374585124,169.01155330703972,228.296248276368,21.922726224448617,35.73404374585124,26.765030674846635,43.62700000000001
"Belgium","Belgium","Country",422790.5,462.785,447.0375,488.2785,423,"Country",422790.5,454.9999244202546,427.3595698217888,481.87806662207254,7.564993952778876,31.999924420254615,9.40543735224586,39.78499999999997
"Belarus","Belarus","Country",4500.5,442.14200000000005,414.234,479.2425,333,"Country",4500.5,421.08423340227193,378.2662912891311,463.8807099905305,26.45172174242401,88.08423340227193,32.77537537537538,109.14200000000004
"Barbados","Barbados","Country",38,18.182499999999997,10.616,59.712,9,"Country",38,17.77478448275862,4.085228272971415,31.19073814025497,97.49760536398466,8.77478448275862,102.02777777777774,9.182499999999996
"Bangladesh","Bangladesh","Country",159.5,42.958,33.096000000000004,69.663,27,"Country",159.5,40.86704787749564,10.050665579467184,71.78236067235956,51.35943658331716,13.867047877495636,59.1037037037037,15.957999999999998
"Bahrain","Bahrain","Country",14,4.5,NA,NA,4,"Country",14,4.46547619047619,2.571189558483865,7.11171878436844,11.636904761904754,0.46547619047619015,12.5,0.5
"Bahamas","Bahamas","Country",474,65.596,56.8435,85.74549999999999,48,"Country",474,62.73483304400385,38.64905908178581,91.0496785817052,30.697568841674695,14.73483304400385,36.658333333333346,17.596000000000004
"Azerbaijan","Azerbaijan","Country",1495.5,990.6945,925.1855,1067.0155,583,"Country",1495.5,917.3715262394952,831.421370593389,1004.255493443811,57.353606559090096,334.3715262394953,69.93044596912523,407.69450000000006
"Austria","Austria","Country",42477.5,934.8695,890.3895,995.8415,735,"Country",42477.5,899.962555831713,842.2239489832377,958.164620993266,22.443885147171837,164.96255583171296,27.193129251700675,199.8695
"Australia","Australia","Country",244346.5,1869.932,1819.488,1931.8455,1615,"Country",244346.5,1828.8956963765584,1765.834805955999,1893.6361896591216,13.244315565111965,213.89569637655836,15.785263157894748,254.932
"Armenia","Armenia","Country",3018.5,850.883,786.892,935.931,536,"Country",3018.5,807.478137027438,725.2812857549955,886.817864080295,50.64890616183546,271.47813702743804,58.74682835820897,314.88300000000004
"Argentina","Argentina","Country",62397.5,1689.7824999999998,1623.5325,1771.7530000000002,1277,"Country",62397.5,1620.6053906682032,1535.7715450779317,1706.1121830293905,26.9072349779329,343.6053906682032,32.324393108848845,412.7824999999998
"Angola","Angola","Country",2355,358.9915,302.7105,440.6615,188,"Country",2355,331.45895736034777,260.43110967761606,401.7350200654613,76.30795604273817,143.45895736034777,90.95292553191489,170.99149999999997
"Andorra","Andorra","Country",133,80.23150000000001,69.42150000000001,99.484,55,"Country",133,75.80627269060105,51.67475471107132,100.72877650552064,37.829586710183726,20.806272690601048,45.875454545454566,25.23150000000001
"Algeria","Algeria","Country",6722,1350.3755,1271.1485,1442.359,858,"Country",6722,1265.3798394292658,1172.4023900428824,1362.0058915134648,47.480167765648694,407.37983942926576,57.38642191142191,492.3755000000001
"Albania","Albania","Country",2373,366.7895,335.621,412.9125,249,"Country",2373,347.3084185914155,299.0158909381985,396.09910524925954,39.48129260699418,98.30841859141547,47.30502008032127,117.78949999999998
"Afghanistan","Afghanistan","Country",1632,472.925,432.795,524.6569999999999,305,"Country",1632,442.01391548002863,386.83618780202937,497.8352035542861,44.92259523935365,137.01391548002863,55.05737704918032,167.925
"Sint Maarten","Sint Maarten","Country",72,20.9045,14.494,52.6525,13,"Country",72,20.02974738675958,6.060018164753246,35.823013877142074,54.07497989815062,7.029747386759581,60.80384615384615,7.904499999999999
"British Indian Ocean Territory",NA,"Country",4,1,1,1.276,1,"Country",4,1,1,1,0,0,0,0
"Antigua and Barbuda",NA,"Country",15,3,3,3.503,3,"Country",15,3,2.613992177403474,3.386007822596526,0,0,0,0
"Cook Islands",NA,"Country",11.5,4.29,4.0225,8.414,4,"Country",11.5,4.227272727272727,2.221250826587033,6.23329462795842,5.681818181818166,0.22727272727272663,7.250000000000001,0.29000000000000004
"Saint Martin",NA,"Country",20,5,5,5.918,5,"Country",20,5,4.089247519290794,5.910752480709206,0,0,0,0
"Cayman Islands",NA,"Country",8,5.75,4.156,23.607,4,"Country",8,5.75,1.4492728596351512,9.79695821679578,43.75,1.75,43.75,1.75
"Faroe Islands",NA,"Country",9,7.333,6.152,17.707,6,"Country",9,7.333333333333333,0.14232745360349375,16.341127704801547,22.22222222222221,1.333333333333333,22.21666666666666,1.3330000000000002
"Saint Pierre and Miquelon",NA,"Country",19,8.5,7.66,10.411,7,"Country",19,7,4.382753676144864,9.617246323855136,0,0,21.42857142857142,1.5
"Martinique",NA,"Country",374,21.2955,17.886499999999998,33.705,17,"Country",374,20.986970131041435,9.854954122502273,31.205550403295447,23.452765476714333,3.986970131041435,25.26764705882354,4.2955000000000005
"Northern Mariana Islands",NA,"Country",131.5,21.1935,15.318,53.8295,14,"Country",131.5,20.199798387096777,7.232390751312437,34.87049762986169,44.28427419354839,6.199798387096774,51.38214285714287,7.1935
"French Polynesia",NA,"Country",181.5,25.223,19.559,51.4875,18,"Country",181.5,24.148370758483033,7.871897404556529,41.44799983690063,34.157615324905734,6.148370758483033,40.127777777777766,7.222999999999999
"Republic of Cabo Verde",NA,"Country",129,29.5435,24.792,47.6065,23,"Country",129,28.740469720496897,9.114875236266911,47.7010111856617,24.95856400216041,5.740469720496897,28.449999999999996,6.543500000000002
"Saint Vincent and the Grenadines",NA,"Country",240,74.9405,60.7605,104.8365,48,"Country",240,70.750383405523,37.86253882781333,108.21528281039096,47.396632094839575,22.750383405522996,56.12604166666666,26.9405
"Brunei Darussalam",NA,"Country",166,86.4315,66.79499999999999,131.3265,49,"Country",166,81.83322985651213,41.05513679864596,123.28636376979335,67.00659154390232,32.83322985651213,76.39081632653063,37.4315
"Solomon Islands",NA,"Country",441,107.757,71.482,199.1725,46,"Country",441,101.00217757405426,24.410207605698705,190.0828727734098,119.56995124794403,55.00217757405426,134.25434782608696,61.757000000000005
"Dominican Republic",NA,"Country",1075,90.4085,80.3385,111.594,71,"Country",1075,87.31781593159316,64.95721009339903,110.60729229706764,22.982839340272054,16.31781593159316,27.335915492957753,19.408500000000004
"Central African Republic",NA,"Country",352.5,123.1705,109.8805,144.5695,89,"Country",352.5,117.27722403540182,91.1181324814356,144.5273362622139,31.772161837530135,28.277224035401815,38.39382022471911,34.170500000000004
"Lao People's Democratic Republic",NA,"Country",542.5,175.82600000000002,153.964,208.55,118,"Country",542.5,166.11326513213982,130.2731436500555,201.80323608418485,40.77395350181341,48.113265132139816,49.00508474576273,57.82600000000002
"Republic of the Congo",NA,"Country",693.5,187.206,161.987,226.539,119,"Country",693.5,175.50960610589905,136.2383016578748,217.67790237758345,47.487063954537014,56.50960610589905,57.31596638655463,68.20600000000002
"Republic of Korea",NA,"Country",12294,297.70000000000005,271.62,334.317,226,"Country",12294,286.0666249945924,249.51061956207693,322.0695966138933,26.57815265247452,60.066624994592416,31.72566371681418,71.70000000000005
"French Guiana",NA,"Country",1201.5,310.6565,280.15999999999997,356.9285,208,"Country",1201.5,293.75977424749163,249.514611375004,338.554814335883,41.230660695909435,85.75977424749163,49.35408653846154,102.6565
"Macedonia",NA,"Country",89,120.438,57.27,335.5,31,"Country",89,102.438202247191,14.6427363621316,190.23366813225044,230.44581370061616,71.43820224719101,288.50967741935483,89.438
"Bosnia and Herzegovina",NA,"Country",1230.5,389.1205,347.94849999999997,439.6865,244,"Country",1230.5,363.9102696924066,309.82027720538065,420.001687384123,49.14355315262564,119.9102696924066,59.47561475409835,145.1205
"Czech Republic",NA,"Country",11449,782.2165,750.98,821.7465,609,"Country",11449,749.2553037523917,696.2730784393437,803.2185139907003,23.030427545548715,140.25530375239168,28.442775041050904,173.2165
"Democratic Republic of the Congo",NA,"Country",9799,1163.5915,1092.3815,1246.79,769,"Country",9799,1098.1302164519134,1008.9653024048778,1186.578911995936,42.799768069169495,329.1302164519134,51.31228868660598,394.5915
"Russian Federation",NA,"Country",47380,1743.9415,1669.8995,1829.324,1255,"Country",47380,1654.3387531155686,1562.2868166255228,1744.3556821100683,31.81982096538396,399.3387531155686,38.95948207171314,488.9414999999999
