"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"South America","iChao",5670.782,69.393,5541.622,5813.931,"393863",NA,NA
"Africa","iChao",6695.2,73.964,6556.239,6846.381,"252467",NA,NA
"Asia","iChao",8761.697,95.899,8580.489,8956.608,"197087",NA,NA
"Europe","iChao",3116.66,40.478,3042.42,3201.371,"3391408",NA,NA
"North America","iChao",6523.971,63.023,6407.896,6655.325,"2773684",NA,NA
"Oceania","iChao",2529.773,45.116,2449.163,2626.621,"269819",NA,NA
"South America","iChao",5652.128,66.319,5528.494,5788.722,"395952",NA,NA
"Africa","iChao",6602.604,69.77,6471.506,6745.194,"259386",NA,NA
"Asia","iChao",8678.626,92.639,8503.566,8866.898,"203940",NA,NA
"Europe","iChao",3210.366,50.188,3118.761,3315.893,"3389919",NA,NA
"North America","iChao",6559.572,65.577,6438.828,6696.288,"2777102",NA,NA
"Oceania","iChao",2543.615,43.177,2465.969,2635.721,"266369",NA,NA
"South America","iChao",5613.167,63.187,5495.267,5743.195,"405268",NA,NA
"Africa","iChao",6603.197,69.98,6471.718,6746.234,"257150",NA,NA
"Asia","iChao",8747.606,93.409,8570.969,8937.314,"202089",NA,NA
"Europe","iChao",3255.81,53.55,3158.078,3368.417,"3392091",NA,NA
"North America","iChao",6535.665,62.444,6420.508,6665.647,"2772303",NA,NA
"Oceania","iChao",2532.475,43.578,2454.328,2625.689,"267542",NA,NA
"South America","iChao",5616.763,62.635,5499.825,5745.582,"401412",NA,NA
"Africa","iChao",6682.685,72.774,6545.907,6831.38,"254824",NA,NA
"Asia","iChao",8761.191,94.957,8581.7,8954.12,"196727",NA,NA
"Europe","iChao",3269.02,55.69,3167.54,3386.306,"3392196",NA,NA
"North America","iChao",6588.123,65.593,6467.147,6724.651,"2769543",NA,NA
"Oceania","iChao",2473.897,36.46,2408.233,2551.563,"266999",NA,NA
"South America","iChao",5630.588,62.797,5513.301,5759.691,"398663",NA,NA
"Africa","iChao",6831.332,81.935,6677.568,6998.991,"256349",NA,NA
"Asia","iChao",8771.349,98.261,8585.819,8971.21,"200415",NA,NA
"Europe","iChao",3123.772,41.317,3048.037,3210.288,"3388517",NA,NA
"North America","iChao",6492.673,61.036,6380.256,6619.884,"2774964",NA,NA
"Oceania","iChao",2519.078,41.662,2444.256,2608.064,"268422",NA,NA
"South America","iChao",5645.917,67.181,5520.789,5784.408,"399720",NA,NA
"Africa","iChao",6792.935,80.002,6642.778,6956.619,"255401",NA,NA
"Asia","iChao",8908.979,102.224,8715.878,9116.807,"198545",NA,NA
"Europe","iChao",3258.811,53.305,3161.465,3370.837,"3390737",NA,NA
"North America","iChao",6535.355,62.835,6419.523,6666.203,"2774678",NA,NA
"Oceania","iChao",2637.818,54.302,2540.64,2754.204,"268711",NA,NA
"South America","iChao",5701.64,69.732,5571.728,5845.356,"397676",NA,NA
"Africa","iChao",6586.602,69.609,6455.848,6728.908,"257183",NA,NA
"Asia","iChao",8712.433,94.565,8533.779,8904.671,"200336",NA,NA
"Europe","iChao",3130.785,43.814,3050.734,3222.82,"3395118",NA,NA
"North America","iChao",6536.675,63.479,6419.721,6668.934,"2772649",NA,NA
"Oceania","iChao",2543.298,44.983,2462.7,2639.599,"268025",NA,NA
"South America","iChao",5614.857,64.066,5495.389,5746.774,"399130",NA,NA
"Africa","iChao",6611.721,69.851,6480.446,6754.451,"256241",NA,NA
"Asia","iChao",8642.193,90.127,8471.8,8825.277,"199242",NA,NA
"Europe","iChao",3207.877,51.164,3114.644,3315.629,"3394036",NA,NA
"North America","iChao",6521.239,62.637,6405.85,6651.762,"2773270",NA,NA
"Oceania","iChao",2511.911,42.937,2435.113,2603.984,"268275",NA,NA
"South America","iChao",5611.714,63.351,5493.528,5742.103,"399907",NA,NA
"Africa","iChao",6667.261,73.436,6529.346,6817.42,"252099",NA,NA
"Asia","iChao",8718.83,95.264,8538.887,8912.522,"191774",NA,NA
"Europe","iChao",3216.404,50.823,3123.665,3323.297,"3388369",NA,NA
"North America","iChao",6470.581,58.499,6362.708,6592.362,"2771418",NA,NA
"Oceania","iChao",2533.524,42.74,2456.733,2624.778,"267179",NA,NA
"South America","iChao",5629.691,67.519,5504.046,5769.003,"396572",NA,NA
"Africa","iChao",6579.172,67.909,6451.503,6717.888,"249307",NA,NA
"Asia","iChao",8566.331,86.466,8402.8,8741.915,"194112",NA,NA
"Europe","iChao",3165.947,45.356,3082.955,3261.086,"3391913",NA,NA
"North America","iChao",6545.481,64.583,6426.554,6680.112,"2773213",NA,NA
"Oceania","iChao",2543.213,44.418,2463.539,2638.201,"268139",NA,NA
"South America","iChao",5543.761,60.553,5430.852,5668.454,"396109",NA,NA
"Africa","iChao",6595.036,70.658,6462.366,6739.548,"253678",NA,NA
"Asia","iChao",8647.453,91.935,8473.754,8834.329,"195220",NA,NA
"Europe","iChao",3319.001,56.742,3215.267,3438.122,"3392778",NA,NA
"North America","iChao",6637.959,71.265,6506.826,6786.625,"2769778",NA,NA
"Oceania","iChao",2498.358,39.624,2427.164,2582.955,"265726",NA,NA
"South America","iChao",5578.995,63.304,5461.05,5709.451,"399604",NA,NA
"Africa","iChao",6658.146,74.761,6517.884,6811.167,"259445",NA,NA
"Asia","iChao",8678.384,95.266,8498.547,8872.194,"203373",NA,NA
"Europe","iChao",3185.86,49.363,3095.885,3289.795,"3391131",NA,NA
"North America","iChao",6527.369,62.971,6411.358,6658.581,"2771028",NA,NA
"Oceania","iChao",2486.447,40.304,2414.313,2572.824,"264660",NA,NA
"South America","iChao",5645.053,67.207,5519.883,5783.603,"403848",NA,NA
"Africa","iChao",6611.744,71.734,6477.084,6758.485,"256330",NA,NA
"Asia","iChao",8642.249,93.189,8466.283,8831.783,"199690",NA,NA
"Europe","iChao",3208.868,48.866,3119.522,3311.442,"3391115",NA,NA
"North America","iChao",6547.621,65.745,6426.676,6684.807,"2773457",NA,NA
"Oceania","iChao",2577.778,50.584,2487.561,2686.553,"267414",NA,NA
"South America","iChao",5644.471,67.23,5519.263,5783.076,"399657",NA,NA
"Africa","iChao",6503.674,63.941,6383.405,6634.22,"255643",NA,NA
"Asia","iChao",8583.342,87.996,8416.98,8762.099,"198555",NA,NA
"Europe","iChao",3182.07,47.107,3095.956,3280.97,"3389893",NA,NA
"North America","iChao",6500.787,63.236,6384.517,6632.804,"2774171",NA,NA
"Oceania","iChao",2574.207,48.674,2487.141,2678.574,"267976",NA,NA
"South America","iChao",5521.87,57.118,5415.157,5639.264,"397190",NA,NA
"Africa","iChao",6648.437,71.832,6513.472,6795.25,"257017",NA,NA
"Asia","iChao",8761.623,93.109,8585.498,8950.666,"198575",NA,NA
"Europe","iChao",3217.428,47.559,3130.235,3316.998,"3391960",NA,NA
"North America","iChao",6528.127,61.37,6414.883,6655.799,"2773075",NA,NA
"Oceania","iChao",2560.303,46.121,2477.601,2658.964,"268456",NA,NA
"South America","iChao",5584.646,61.549,5469.781,5711.282,"401014",NA,NA
"Africa","iChao",6609.445,67.641,6482.16,6747.487,"252221",NA,NA
"Asia","iChao",8621.093,88.951,8452.896,8801.758,"196923",NA,NA
"Europe","iChao",3163.304,44.402,3081.963,3256.335,"3389523",NA,NA
"North America","iChao",6529.163,62.275,6414.344,6658.822,"2774456",NA,NA
"Oceania","iChao",2519.013,41.815,2443.94,2608.357,"267167",NA,NA
"South America","iChao",5644.812,66.612,5520.695,5782.077,"394897",NA,NA
"Africa","iChao",6565.311,67.55,6438.334,6703.312,"257894",NA,NA
"Asia","iChao",8663.373,91.542,8490.349,8849.377,"206675",NA,NA
"Europe","iChao",3207.879,52.909,3111.707,3319.577,"3393031",NA,NA
"North America","iChao",6560.402,65.888,6439.115,6697.798,"2778639",NA,NA
"Oceania","iChao",2557.018,47.708,2471.784,2659.435,"268254",NA,NA
"South America","iChao",5582.403,59.87,5470.531,5705.434,"399525",NA,NA
"Africa","iChao",6785.993,78.608,6638.365,6946.731,"250691",NA,NA
"Asia","iChao",8851.897,100.381,8662.298,9056.002,"194180",NA,NA
"Europe","iChao",3121.551,42.137,3044.435,3209.921,"3388928",NA,NA
"North America","iChao",6566.267,64.183,6447.885,6699.852,"2774336",NA,NA
"Oceania","iChao",2449.547,34.741,2387.036,2523.616,"267743",NA,NA
"South America","iChao",5711.084,71.602,5577.822,5858.798,"398799",NA,NA
"Africa","iChao",6711.674,72.158,6575.911,6858.957,"251791",NA,NA
"Asia","iChao",8865.148,96.041,8683.423,9060.085,"195729",NA,NA
"Europe","iChao",3212.375,50.305,3120.551,3318.144,"3392533",NA,NA
"North America","iChao",6616.002,67.868,6490.894,6757.332,"2770013",NA,NA
"Oceania","iChao",2469.032,36.061,2404.089,2545.852,"268921",NA,NA
"South America","iChao",5644.849,63.544,5526.17,5775.492,"400345",NA,NA
"Africa","iChao",6882.978,84.15,6725.051,7055.165,"251782",NA,NA
"Asia","iChao",8947.251,102.247,8754.008,9155.025,"196306",NA,NA
"Europe","iChao",3223.792,51.896,3129.167,3333.021,"3386395",NA,NA
"North America","iChao",6580.638,65.265,6460.281,6716.499,"2771806",NA,NA
"Oceania","iChao",2432.5,33.89,2371.619,2504.869,"266363",NA,NA
"South America","iChao",5830.71,76.822,5687.631,5989.082,"396289",NA,NA
"Africa","iChao",6507.763,65.575,6384.537,6641.771,"255577",NA,NA
"Asia","iChao",8533.962,84.988,8373.205,8706.523,"201682",NA,NA
"Europe","iChao",3125.141,44.584,3043.837,3218.968,"3390803",NA,NA
"North America","iChao",6495.651,58.507,6387.593,6617.262,"2774305",NA,NA
"Oceania","iChao",2550.104,47.049,2466.045,2651.104,"266057",NA,NA
"South America","iChao",5577.447,61.208,5463.221,5703.384,"398216",NA,NA
"Africa","iChao",6677.114,72.726,6540.442,6825.726,"252052",NA,NA
"Asia","iChao",8659.164,91.232,8486.715,8844.528,"197757",NA,NA
"Europe","iChao",3221.868,49.621,3131.12,3326.004,"3392719",NA,NA
"North America","iChao",6477.859,58.61,6369.742,6599.83,"2772130",NA,NA
"Oceania","iChao",2534.02,43.964,2455.221,2628.106,"265887",NA,NA
"South America","iChao",5549.081,60.812,5435.688,5674.307,"400224",NA,NA
"Africa","iChao",6702.778,75.752,6560.575,6857.742,"253486",NA,NA
"Asia","iChao",8799.26,98.475,8613.266,8999.494,"200309",NA,NA
"Europe","iChao",3188.02,48.267,3099.882,3289.464,"3391467",NA,NA
"North America","iChao",6477.213,58.783,6368.801,6599.571,"2772556",NA,NA
"Oceania","iChao",2535.883,42.74,2459.06,2627.098,"265440",NA,NA
"South America","iChao",5663.53,67.791,5537.236,5803.247,"398038",NA,NA
"Africa","iChao",6635.234,71.005,6501.802,6780.334,"258440",NA,NA
"Asia","iChao",8688.109,91.716,8514.706,8874.413,"201316",NA,NA
"Europe","iChao",3171.765,45.879,3087.833,3268.016,"3392195",NA,NA
"North America","iChao",6453.684,57.006,6348.513,6572.303,"2772281",NA,NA
"Oceania","iChao",2464.073,39.124,2394.199,2548.092,"265412",NA,NA
"South America","iChao",5590.642,64.27,5470.93,5723.128,"405154",NA,NA
"Africa","iChao",6629.453,69.483,6498.783,6771.337,"257632",NA,NA
"Asia","iChao",8655.464,89.656,8485.897,8837.521,"200507",NA,NA
"Europe","iChao",3209.615,48.756,3120.448,3311.937,"3386948",NA,NA
"North America","iChao",6524.515,62.89,6408.664,6655.571,"2771721",NA,NA
"Oceania","iChao",2507.522,39.451,2436.488,2591.579,"267293",NA,NA
"South America","iChao",5567.354,59.027,5457.048,5688.641,"401866",NA,NA
"Africa","iChao",6649.063,71.692,6514.347,6795.576,"252031",NA,NA
"Asia","iChao",8724.629,94.352,8546.331,8916.384,"194637",NA,NA
"Europe","iChao",3133.205,42.442,3055.467,3222.144,"3388389",NA,NA
"North America","iChao",6544.259,63.369,6427.439,6676.216,"2772461",NA,NA
"Oceania","iChao",2446.414,34.592,2384.191,2520.187,"267825",NA,NA
"South America","iChao",5606.835,62.684,5489.854,5735.81,"398662",NA,NA
"Africa","iChao",6534.354,64.643,6412.719,6666.287,"256360",NA,NA
"Asia","iChao",8607.131,87.822,8441.027,8785.459,"198488",NA,NA
"Europe","iChao",3275.669,54.812,3175.611,3390.906,"3390701",NA,NA
"North America","iChao",6586.207,65.727,6465.013,6723.043,"2770494",NA,NA
"Oceania","iChao",2548.149,43.654,2469.657,2641.287,"263926",NA,NA
"South America","iChao",5538.387,61.086,5424.561,5664.259,"400190",NA,NA
"Africa","iChao",6618.681,71.291,6484.792,6764.451,"254230",NA,NA
"Asia","iChao",8613.971,88.279,8447.016,8793.242,"194713",NA,NA
"Europe","iChao",3208.027,49.894,3116.942,3312.918,"3389995",NA,NA
"North America","iChao",6497.196,61.003,6384.803,6624.297,"2771653",NA,NA
"Oceania","iChao",2493.792,41.582,2419.471,2583.023,"267299",NA,NA
"South America","iChao",5600.924,62.736,5483.879,5730.04,"397698",NA,NA
"Africa","iChao",6610.003,71.419,6475.914,6756.079,"252091",NA,NA
"Asia","iChao",8630.922,90.287,8460.266,8814.372,"199255",NA,NA
"Europe","iChao",3223.578,47.612,3136.244,3323.208,"3391839",NA,NA
"North America","iChao",6646.749,68.64,6520.09,6789.547,"2773820",NA,NA
"Oceania","iChao",2480.867,40.247,2408.912,2567.208,"268989",NA,NA
"South America","iChao",5570.212,63.347,5452.233,5700.808,"399031",NA,NA
"Africa","iChao",6614.537,71.053,6481.089,6759.817,"252335",NA,NA
"Asia","iChao",8715.355,94.242,8537.281,8906.904,"194843",NA,NA
"Europe","iChao",3185.758,46.627,3100.428,3283.547,"3388594",NA,NA
"North America","iChao",6522.643,60.117,6411.609,6647.597,"2771189",NA,NA
"Oceania","iChao",2561.586,46.342,2478.504,2660.738,"267997",NA,NA
"South America","iChao",5659.71,69.237,5530.881,5802.581,"397429",NA,NA
"Africa","iChao",6598.062,70.574,6465.533,6742.383,"252369",NA,NA
"Asia","iChao",8808.392,98.548,8622.241,9008.754,"195560",NA,NA
"Europe","iChao",3215.955,50.113,3124.425,3321.255,"3390768",NA,NA
"North America","iChao",6596.634,67.035,6473.104,6736.277,"2771537",NA,NA
"Oceania","iChao",2607.601,52.134,2514.405,2719.46,"267351",NA,NA
"South America","iChao",5582.092,62.403,5465.726,5710.584,"397086",NA,NA
"Africa","iChao",6737.037,77.869,6590.912,6896.384,"255551",NA,NA
"Asia","iChao",8750.448,97.056,8567.164,8947.827,"199614",NA,NA
"Europe","iChao",3151.954,44.798,3070.038,3245.981,"3391737",NA,NA
"North America","iChao",6493.062,59.287,6383.669,6616.408,"2770431",NA,NA
"Oceania","iChao",2532.998,43.42,2455.101,2625.838,"264207",NA,NA
"South America","iChao",5717.232,71.993,5583.249,5865.761,"400537",NA,NA
"Africa","iChao",6926.012,87.795,6761.391,7105.812,"252183",NA,NA
"Asia","iChao",8947.771,105.608,8748.414,9162.626,"196266",NA,NA
"Europe","iChao",3093.03,41.999,3016.41,3181.381,"3393603",NA,NA
"North America","iChao",6573.774,65.285,6453.432,6709.732,"2771913",NA,NA
"Oceania","iChao",2490.715,41.089,2417.242,2578.849,"272159",NA,NA
"South America","iChao",5751.702,74.943,5612.34,5906.438,"394461",NA,NA
"Africa","iChao",6695.51,74.86,6554.937,6848.598,"248635",NA,NA
"Asia","iChao",8835.153,102.147,8642.389,9043.031,"193176",NA,NA
"Europe","iChao",3210.441,49.039,3120.785,3313.388,"3389408",NA,NA
"North America","iChao",6519.844,64.611,6401.063,6654.749,"2772885",NA,NA
"Oceania","iChao",2503.873,42.376,2428.109,2594.779,"270692",NA,NA
"South America","iChao",5695.142,69.904,5564.958,5839.264,"393481",NA,NA
"Africa","iChao",6698.746,72.81,6561.851,6847.458,"249409",NA,NA
"Asia","iChao",8782.161,93.403,8605.451,8971.768,"194595",NA,NA
"Europe","iChao",3233.568,52.593,3137.668,3344.261,"3390684",NA,NA
"North America","iChao",6476.884,57.846,6370.098,6597.179,"2775661",NA,NA
"Oceania","iChao",2511.921,41.602,2437.298,2600.887,"266657",NA,NA
"South America","iChao",5650.378,62.498,5533.537,5778.745,"392324",NA,NA
"Africa","iChao",6635.462,74.031,6496.592,6787.014,"258739",NA,NA
"Asia","iChao",8696.636,94.855,8517.497,8889.528,"202253",NA,NA
"Europe","iChao",3171.066,49.225,3081.472,3274.856,"3390129",NA,NA
"North America","iChao",6570.973,63.789,6453.242,6703.652,"2770670",NA,NA
"Oceania","iChao",2545.124,47.001,2461.222,2646.103,"268845",NA,NA
"South America","iChao",5597.261,64.328,5477.414,5729.837,"404208",NA,NA
"Africa","iChao",6721.302,77.258,6576.331,6879.407,"256700",NA,NA
"Asia","iChao",8737.571,96.033,8556.182,8932.83,"200162",NA,NA
"Europe","iChao",3222.892,52.128,3127.883,3332.653,"3392206",NA,NA
"North America","iChao",6506.866,60.885,6394.608,6633.632,"2773473",NA,NA
"Oceania","iChao",2522.892,40.299,2450.259,2608.673,"267254",NA,NA
"South America","iChao",5733.757,71.463,5600.627,5881.048,"400925",NA,NA
"Africa","iChao",6596.122,69.119,6466.217,6737.352,"253386",NA,NA
"Asia","iChao",8588.061,88.813,8420.198,8768.523,"196388",NA,NA
"Europe","iChao",3124.615,44.908,3042.768,3219.178,"3388466",NA,NA
"North America","iChao",6501.295,62.758,6385.844,6632.248,"2771754",NA,NA
"Oceania","iChao",2595.484,52.351,2502.128,2708.073,"268737",NA,NA
"South America","iChao",5563.391,60.905,5449.766,5688.744,"395292",NA,NA
"Africa","iChao",6727.352,77.587,6581.768,6886.135,"250964",NA,NA
"Asia","iChao",8760.633,96.344,8578.616,8956.485,"193925",NA,NA
"Europe","iChao",3199.008,49.397,3108.85,3302.877,"3388631",NA,NA
"North America","iChao",6578.491,66.439,6456.121,6716.96,"2772302",NA,NA
"Oceania","iChao",2554.599,46.311,2471.67,2653.799,"266917",NA,NA
"South America","iChao",5643.866,67.5,5518.183,5783.059,"397089",NA,NA
"Africa","iNEXT",6338.7187365602495,NA,6168.467772590149,6508.96970053035,"253667",4976,86.86433287193955
"Asia","iNEXT",8237.712078110191,NA,8019.418007101526,8456.006149118857,"196746",6184,111.37657259548735
"Europe","iNEXT",3094.817220574698,NA,2989.4498007171087,3200.184640432287,"3390257",2516,53.75987553277197
"North America","iNEXT",6297.180901366804,NA,6181.702620768591,6412.6591819650175,"2769963",5526,58.918572743729534
"Oceania","iNEXT",2407.0423749948864,NA,2327.1982597625265,2486.886490227246,"267027",2049,40.73754204779275
"South America","iNEXT",5363.798587694261,NA,5244.211840921014,5483.385334467508,"398169",4349,61.014767473551515
"Africa","iNEXT",6335.072364397744,NA,6171.391035052418,6498.7536937430705,"251059",4976,83.51241687930163
"Asia","iNEXT",8113.181078267784,NA,7950.562901800418,8275.79925473515,"194221",6184,82.96998197419805
"Europe","iNEXT",3167.580083013885,NA,3076.0969097258444,3259.063256301926,"3389843",2516,46.67594609372841
"North America","iNEXT",6319.469367247271,NA,6203.32938165902,6435.609352835522,"2775030",5526,59.25618353416103
"Oceania","iNEXT",2426.3189604567897,NA,2338.562527411349,2514.0753935022303,"269741",2049,44.77451307149122
"South America","iNEXT",5375.84383671741,NA,5233.934134639277,5517.753538795544,"397447",4349,72.40423966843237
"Africa","iNEXT",6282.826547950113,NA,6133.759981093378,6431.893114806849,"256147",4976,76.055768387865
"Asia","iNEXT",8290.466171118725,NA,8094.6325832090315,8486.29975902842,"202510",6184,99.9169318693631
"Europe","iNEXT",3113.353427446208,NA,3005.654135267667,3221.0527196247494,"3391022",2516,54.94962817075193
"North America","iNEXT",6365.3054946385555,NA,6249.183825339829,6481.427163937282,"2774905",5526,59.24683831676465
"Oceania","iNEXT",2447.3044044748417,NA,2351.3380132729762,2543.270795676707,"269512",2049,48.963344203687484
"South America","iNEXT",5455.823679901923,NA,5317.126410057502,5594.520949746345,"398654",4349,70.76521351333388
"Africa","iNEXT",6513.864538490215,NA,6338.529160422017,6689.199916558412,"259227",4976,89.45846936536613
"Asia","iNEXT",8444.013661961322,NA,8221.420399689403,8666.606924233241,"204281",6184,113.57007783189209
"Europe","iNEXT",3198.5088898771432,NA,3064.0652993346184,3332.952480419668,"3395028",2516,68.59492909206432
"North America","iNEXT",6388.048469913462,NA,6246.731590969483,6529.365348857442,"2775660",5526,72.10177332781072
"Oceania","iNEXT",2499.8088847114595,NA,2399.3249382334848,2600.2928311894343,"269254",2049,51.268261697959424
"South America","iNEXT",5478.4089589857795,NA,5349.428750964999,5607.38916700656,"402539",4349,65.8074378091432
"Africa","iNEXT",6466.293777493609,NA,6287.04877955923,6645.538775427988,"253708",4976,91.45321003255208
"Asia","iNEXT",8282.822425770017,NA,8063.367106212389,8502.277745327645,"192420",6184,111.96905723200211
"Europe","iNEXT",3077.0085300583,NA,2975.466249010045,3178.550811106555,"3387859",2516,51.808238237645
"North America","iNEXT",6248.012309358121,NA,6155.6953529062785,6340.329265809963,"2771915",5526,47.1013534840571
"Oceania","iNEXT",2496.0187919201026,NA,2393.316654173762,2598.720929666443,"266732",2049,52.400012733112476
"South America","iNEXT",5457.258504011565,NA,5314.315382735016,5600.201625288113,"398849",4349,72.93150405010788
"Africa","iNEXT",6322.071250040747,NA,6176.675025664704,6467.4674744167905,"254502",4976,74.18311026269376
"Asia","iNEXT",8275.902656053708,NA,8046.613489549176,8505.19182255824,"201389",6184,116.98641827764975
"Europe","iNEXT",3044.8544697417738,NA,2928.9192419067576,3160.78969757679,"3394252",2516,59.15171337305095
"North America","iNEXT",6339.6195899159875,NA,6216.1061604877805,6463.1330193441945,"2775676",5526,63.0182138051848
"Oceania","iNEXT",2445.501495751627,NA,2352.3011321560184,2538.7018593472353,"267828",2049,47.55207969675007
"South America","iNEXT",5397.148796085613,NA,5252.035020194493,5542.262571976733,"401227",4349,74.03900124479784
"Africa","iNEXT",6300.490576116501,NA,6145.286407017299,6455.694745215703,"249977",4976,79.18725564522235
"Asia","iNEXT",8208.746023270594,NA,8017.913509328983,8399.578537212205,"191066",6184,97.36531663177117
"Europe","iNEXT",3023.612682235702,NA,2923.6010389766584,3123.6243254947453,"3392619",2516,51.027286239911845
"North America","iNEXT",6389.734151537106,NA,6264.878875398427,6514.589427675785,"2770691",5526,63.70284205399773
"Oceania","iNEXT",2464.1234462198368,NA,2379.602967453893,2548.6439249857804,"267171",2049,43.12348565209891
"South America","iNEXT",5299.5827575529365,NA,5159.351562608343,5439.81395249753,"392895",4349,71.54784274135632
"Africa","iNEXT",6405.633591187772,NA,6215.488776791257,6595.778405584288,"256021",4976,97.01444306954284
"Asia","iNEXT",8380.540697327202,NA,8189.039359960416,8572.042034693988,"199201",6184,97.70655934360241
"Europe","iNEXT",3037.329633506401,NA,2928.945424341698,3145.713842671104,"3391256",2516,55.29908203396786
"North America","iNEXT",6373.177635819008,NA,6233.702888010734,6512.652383627283,"2774381",5526,71.16189323295406
"Oceania","iNEXT",2459.906449226139,NA,2371.9269496841853,2547.885948768093,"269230",2049,44.88832459980128
"South America","iNEXT",5388.743948597173,NA,5244.73436953047,5532.7535276638755,"400645",4349,73.47562516588675
"Africa","iNEXT",6273.522944422748,NA,6097.611340911414,6449.434547934082,"251715",4976,89.75246734067676
"Asia","iNEXT",8222.749507386838,NA,7993.015621107101,8452.483393666575,"197758",6184,117.21332029151992
"Europe","iNEXT",3126.6787190145496,NA,3004.0688795299448,3249.2885584991545,"3391379",2516,62.557190056417205
"North America","iNEXT",6403.722593643415,NA,6274.115813354342,6533.329373932488,"2772574",5526,66.12712341216204
"Oceania","iNEXT",2454.9189260866215,NA,2370.9306739966933,2538.9071781765497,"265575",2049,42.851936439861575
"South America","iNEXT",5291.355229719445,NA,5162.439555271513,5420.270904167376,"394924",4349,65.7745119118524
"Africa","iNEXT",6304.876399664356,NA,6146.416026331988,6463.336772996723,"254436",4976,80.84861486347846
"Asia","iNEXT",8207.545529368195,NA,8030.57004581998,8384.521012916412,"200407",6184,90.29527325204768
"Europe","iNEXT",3124.61192805475,NA,3031.7010258794903,3217.5228302300097,"3389302",2516,47.40439258482762
"North America","iNEXT",6342.141751114362,NA,6224.867059572952,6459.416442655772,"2772785",5526,59.83512578111528
"Oceania","iNEXT",2467.788853232926,NA,2380.5435541147262,2555.034152351126,"267439",2049,44.51372566352225
"South America","iNEXT",5318.616401074085,NA,5173.337784135135,5463.895018013035,"398527",4349,74.12310536565434
"Africa","iNEXT",6338.7187365602495,NA,6168.467772590149,6508.96970053035,"253667",4976,86.86433287193955
"Asia","iNEXT",8237.712078110191,NA,8019.418007101526,8456.006149118857,"196746",6184,111.37657259548735
"Europe","iNEXT",3094.817220574698,NA,2989.4498007171087,3200.184640432287,"3390257",2516,53.75987553277197
"North America","iNEXT",6297.180901366804,NA,6181.702620768591,6412.6591819650175,"2769963",5526,58.918572743729534
"Oceania","iNEXT",2407.0423749948864,NA,2327.1982597625265,2486.886490227246,"267027",2049,40.73754204779275
"South America","iNEXT",5363.798587694261,NA,5244.211840921014,5483.385334467508,"398169",4349,61.014767473551515
"Africa","iNEXT",6335.072364397744,NA,6171.391035052418,6498.7536937430705,"251059",4976,83.51241687930163
"Asia","iNEXT",8113.181078267784,NA,7950.562901800418,8275.79925473515,"194221",6184,82.96998197419805
"Europe","iNEXT",3167.580083013885,NA,3076.0969097258444,3259.063256301926,"3389843",2516,46.67594609372841
"North America","iNEXT",6319.469367247271,NA,6203.32938165902,6435.609352835522,"2775030",5526,59.25618353416103
"Oceania","iNEXT",2426.3189604567897,NA,2338.562527411349,2514.0753935022303,"269741",2049,44.77451307149122
"South America","iNEXT",5375.84383671741,NA,5233.934134639277,5517.753538795544,"397447",4349,72.40423966843237
"Africa","iNEXT",6282.826547950113,NA,6133.759981093378,6431.893114806849,"256147",4976,76.055768387865
"Asia","iNEXT",8290.466171118725,NA,8094.6325832090315,8486.29975902842,"202510",6184,99.9169318693631
"Europe","iNEXT",3113.353427446208,NA,3005.654135267667,3221.0527196247494,"3391022",2516,54.94962817075193
"North America","iNEXT",6365.3054946385555,NA,6249.183825339829,6481.427163937282,"2774905",5526,59.24683831676465
"Oceania","iNEXT",2447.3044044748417,NA,2351.3380132729762,2543.270795676707,"269512",2049,48.963344203687484
"South America","iNEXT",5455.823679901923,NA,5317.126410057502,5594.520949746345,"398654",4349,70.76521351333388
"Africa","iNEXT",6513.864538490215,NA,6338.529160422017,6689.199916558412,"259227",4976,89.45846936536613
"Asia","iNEXT",8444.013661961322,NA,8221.420399689403,8666.606924233241,"204281",6184,113.57007783189209
"Europe","iNEXT",3198.5088898771432,NA,3064.0652993346184,3332.952480419668,"3395028",2516,68.59492909206432
"North America","iNEXT",6388.048469913462,NA,6246.731590969483,6529.365348857442,"2775660",5526,72.10177332781072
"Oceania","iNEXT",2499.8088847114595,NA,2399.3249382334848,2600.2928311894343,"269254",2049,51.268261697959424
"South America","iNEXT",5478.4089589857795,NA,5349.428750964999,5607.38916700656,"402539",4349,65.8074378091432
"Africa","iNEXT",6466.293777493609,NA,6287.04877955923,6645.538775427988,"253708",4976,91.45321003255208
"Asia","iNEXT",8282.822425770017,NA,8063.367106212389,8502.277745327645,"192420",6184,111.96905723200211
"Europe","iNEXT",3077.0085300583,NA,2975.466249010045,3178.550811106555,"3387859",2516,51.808238237645
"North America","iNEXT",6248.012309358121,NA,6155.6953529062785,6340.329265809963,"2771915",5526,47.1013534840571
"Oceania","iNEXT",2496.0187919201026,NA,2393.316654173762,2598.720929666443,"266732",2049,52.400012733112476
"South America","iNEXT",5457.258504011565,NA,5314.315382735016,5600.201625288113,"398849",4349,72.93150405010788
"Africa","iNEXT",6322.071250040747,NA,6176.675025664704,6467.4674744167905,"254502",4976,74.18311026269376
"Asia","iNEXT",8275.902656053708,NA,8046.613489549176,8505.19182255824,"201389",6184,116.98641827764975
